Job Title,Company Name,Location,Type of ownership,Industry,Sector,Min Salary($),Max Salary($),Average Salary,Min Qualification,Python,R,SQL,C/C++/C#
Data Scientist,Comtech Global Inc,Washington,Company - Private,"Health, Beauty, & Fitness",Consumer Services,105000,167000,136000,Bachelors,True,True,True,
Data Scientist,Berico Technologies,Fort Belvoir,-1,-1,-1,105000,167000,136000,,,,,
Data Scientist,Kehe Food Distributors,Naperville,-1,-1,-1,105000,167000,136000,Bachelors,True,True,True,
Data Scientist,"Aveshka, Inc.",Washington,Company - Public,IT Services,Information Technology,105000,167000,136000,Bachelors,True,True,True,
Data Scientist,Perspecta,Adelphi,Company - Public,Aerospace & Defense,Aerospace & Defense,105000,167000,136000,Bachelors,True,,,True
Data Scientist,Pactera Edge,Redmond,-1,-1,-1,105000,167000,136000,Phd,True,,True,
Data Scientist,Qurate Retail Group,West Chester,Company - Public,Other Retail Stores,Retail,105000,167000,136000,Masters,True,True,True,
Data Scientist,"SolutionIT, Inc.",Edison,Company - Private,-1,-1,105000,167000,136000,Bachelors,,,,
Data Scientist,A-Line Staffing Solutions,Durham,Company - Private,Staffing & Outsourcing,Business Services,105000,167000,136000,Masters,True,True,True,
Data Scientist,Clear Ridge Defense,Quantico,Company - Private,-1,-1,105000,167000,136000,Bachelors,True,,,
Data Scientist,"Criterion Systems, Inc.",Vienna,Company - Private,IT Services,Information Technology,105000,167000,136000,,True,,True,
Data Scientist,Foundation Medicine,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,105000,167000,136000,Masters,True,True,True,
Data Scientist,TRANZACT,Fort Lee,Company - Private,Advertising & Marketing,Business Services,105000,167000,136000,Bachelors,True,,True,
Data Scientist,JKGT,San Francisco,-1,-1,-1,105000,167000,136000,,,,,
Data Scientist,AccessHope,Irwindale,-1,-1,-1,105000,167000,136000,,True,True,True,True
Data Scientist,ChaTeck Incorporated,San Francisco,Company - Private,Advertising & Marketing,Business Services,105000,167000,136000,Bachelors,True,True,,
Data Scientist,1-800-Flowers,New York,Company - Public,Wholesale,Business Services,105000,167000,136000,Bachelors,True,,True,
